Year,Country,GDP,GDP per capita,Population,Government expenditure on education,Expenditure on tertiary education,"School enrollment, tertiary",Continent
2019,Isle of Man,7314967866,87152.46526,83933.0,..,..,..,Europe
2019,Italy,2.0113E+12,33673.75096,59729081.0,8.047363281,..,65.6893692,Europe
2019,Jamaica,15830766531,5626.170459,2813773.0,17.31398964,..,..,North America
2019,Japan,5.11799E+12,40415.95676,126633000.0,8.146375656,..,62.11849976,Asia
2019,Kazakhstan,1.81667E+11,9812.595526,18513673.0,18.96017456,..,59.58200073,Asia
2019,Kenya,1.00378E+11,1970.08007,50951450.0,..,..,10.56947041,Africa
2019,Kiribati,216891541,1745.732415,124241.0,12.19363499,..,..,Oceania
2019,"Korea, Dem. People's Rep.",..,..,25755441.0,..,..,..,Asia
2019,Kosovo,7899737577,4416.029253,1788878.0,..,..,..,Europe
2019,Kyrgyz Republic,9371275264,1451.515638,6456200.0,20.06521797,..,41.55699921,Asia
2019,Lao PDR,18740561513,2598.505795,7212053.0,11.62300014,..,13.76599979,Asia
2019,Latvia,34225547537,17883.34941,1913822.0,15.01828766,..,94.86453247,Europe
2019,Lesotho,2390702296,1074.134047,2225702.0,13.82600021,..,..,Africa
2019,Liberia,3319596500,665.8784476,4985289.0,13.71899986,..,..,Africa
2019,Libya,72081962263,10972.90252,6569088.0,..,..,..,Africa
2019,Liechtenstein,6436467007,167259.1603,38482.0,..,..,41.16584015,Europe
2019,Lithuania,54808531641,19615.54915,2794137.0,13.27595139,..,72.00897217,Europe
2019,Luxembourg,69890505324,112726.4397,620001.0,11.18255234,..,19.39694977,Europe
2019,"Macao SAR, China",55082293844,82998.6361,663653.0,15.55207253,..,80.09111786,Asia
2019,Madagascar,14104664679,512.2796656,27533134.0,17.95299911,..,5.534029961,Africa
2019,Malawi,11077305330,587.1154647,18867337.0,..,..,..,Africa
2019,Maldives,5726094799,11349.85927,504508.0,12.05500031,..,36.26837158,Asia
2019,Mali,17280250810,840.1757464,20567424.0,15.35702991,..,4.734000206,Africa
2019,Malta,16004563886,31751.18118,504062.0,14.07578087,..,58.53686905,Europe
2019,Marshall Islands,231996704.1,5186.833842,44728.0,15.04273987,..,41.47465134,Oceania
2019,Mauritania,7894764886,1800.875187,4383849.0,10.22801971,..,5.869890213,Africa
2019,Mauritius,14436346980,11403.25279,1265985.0,14.49410057,..,42.66407013,Africa
2019,Mexico,1.30521E+12,10434.56762,125085311.0,..,..,43.04413986,North America
2019,"Micronesia, Fed. Sts.",394000000,3537.471157,111379.0,18.10700035,..,..,Oceania
2019,Moldova,11736797055,4405.334182,2664224.0,18.37224579,..,54.77457047,Europe
2019,Mongolia,14206359018,4394.94715,3232430.0,14.07755661,..,63.41799927,Asia
2019,Montenegro,5542054181,8909.653876,622028.0,..,..,54.96417999,Europe
2019,Morocco,1.2892E+11,3498.582764,36304408.0,21.46500015,..,38.02486038,Africa
2019,Mozambique,15512758965,512.2157569,30285595.0,19.0340004,..,7.301000118,Africa
2019,Myanmar,75065106228,1415.248986,53040212.0,9.820048332,14.62929,..,Asia
2019,Namibia,12541928103,5126.176143,2446644.0,25.2689991,..,27.74831009,Africa
2019,Nauru,125160115.5,10316.52782,12132.0,..,..,..,Oceania
2019,Nepal,34186180699,1185.682318,28832496.0,..,..,13.92241001,Asia
2019,Netherlands,9.10194E+11,52476.27325,17344874.0,11.83492565,..,..,Europe
2019,New Caledonia,9475655325,34934.57943,271240.0,..,..,..,Oceania
2019,New Zealand,2.12847E+11,42747.20993,4979200.0,15.86584187,..,77.58437347,Oceania
2019,Nicaragua,12699046245,1905.640917,6663924.0,23.94099998,..,17.76799965,North America
2019,Niger,12889555561,549.8161278,23443393.0,13.01299953,..,4.433390141,Africa
2019,Nigeria,4.74517E+11,2334.023642,203304492.0,..,..,..,Africa
2019,North Macedonia,12606338449,6718.858266,1876262.0,..,..,39.73989868,Europe
